Sample	Distance(cm)
902	24.3844	
903	24.4206	
904	24.4266	
905	24.4412	
906	24.4382	
907	24.427	
908	24.4029	
909	24.3745	
910	24.3376	
911	24.292	
912	24.2206	
913	24.1578	
914	24.0864	
915	23.9721	
916	23.8663	
917	23.7132	
918	23.5773	
919	23.4457	
920	23.2841	
921	23.1525	
922	23.0123	
923	22.885	
924	22.7921	
925	22.695	
926	22.6103	
927	22.4701	
928	22.3643	
929	22.2284	
930	22.1011	
931	22.0083	
932	21.8939	
933	21.7881	
934	21.7253	
935	21.6754	
936	21.6299	
937	21.5972	
938	21.5817	
939	21.5705	
940	21.5851	
941	21.5998	
942	21.6187	
943	21.6677	
944	21.7249	
945	21.7782	
946	21.8401	
947	21.9192	
948	22.0328	
949	22.1549	
950	22.2555	
951	22.4206	
952	22.5556	
953	22.7122	
954	22.9891	
955	23.0553	
956	23.2759	
957	23.312	
958	23.4427	
959	23.5391	
960	23.6698	
961	23.8134	
962	23.9312	
963	24.0748	
964	24.2357	
965	24.3062	
966	24.4842	
967	24.6192	
968	24.6463	
969	24.6609	
970	24.7186	
971	24.7461	
972	24.7478	
973	24.728	
974	24.7254	
975	24.7099	
976	24.6859	
977	24.6489	
978	24.599	
979	24.5362	
980	24.4606	
981	24.3634	
982	24.2662	
983	24.1217	
984	23.9471	
985	23.8241	
986	23.6878	
987	23.5391	
988	23.3817	
989	23.2243	
990	23.0884	
991	22.9181	
992	22.7694	
993	22.6378	
994	22.4675	
995	22.3703	
996	22.1871	
997	22.0814	
998	21.9584	
999	21.7365	
1000	21.6264	
1001	21.4776	
1002	21.3375	
1003	21.2403	
1004	21.1818	
1005	21.1319	
1006	21.0906	
1007	21.0623	
1008	21.0506	
1009	21.0567	
1010	21.1057	
1011	21.1633	
1012	21.251	
1013	21.3087	
1014	21.2803	
1015	21.2906	
1016	21.3697	
1017	21.5907	
1018	21.7042	
1019	21.8135	
1020	22.0087	
1021	22.139	
1022	22.2783	
1023	22.4305	
1024	22.5698	
1025	22.7307	
1026	22.8614	
1027	23.0093	
1028	23.1529	
1029	23.2965	
1030	23.4445	
1031	23.5838	
1032	23.7274	
1033	23.8706	
1034	24.0529	
1035	24.2481	
1036	24.3702	
1037	24.4752	
1038	24.5758	
1039	24.6635	
1040	24.7125	
1041	24.7529	
1042	24.7461	
1043	24.7478	
1044	24.7452	
1045	24.7297	
1046	24.7181	
1047	24.7026	
1048	24.6872	
1049	24.633	
1050	24.6433	
1051	24.6579	
1052	24.5822	
1053	24.4507	
1054	24.3449	
1055	24.1789	
1056	23.9269	
1057	23.7781	
1058	23.6165	
1059	23.4892	
1060	23.3404	
1061	23.2002	
1062	23.0729	
1063	22.9328	
1064	22.8012	
1065	22.6524	
1066	22.538	
1067	22.406	
1068	22.2658	
1069	22.173	
1070	22.0457	
1071	21.9227	
1072	21.8298	
1073	21.7627	
1074	21.6999	
1075	21.6501	
1076	21.6131	
1077	21.589	
1078	21.5821	
1079	21.5968	
1080	21.6028	
1081	21.6346	
1082	21.6793	
1083	21.7283	
1084	21.7683	
1085	21.813	
1086	21.875	
1087	21.9326	
1088	21.9816	
1089	22.1123	
1090	22.243	
1091	22.3781	
1092	22.5604	
1093	22.6739	
1094	22.8046	
1095	22.9009	
1096	23.0274	
1097	23.1577	
1098	23.2841	
1099	23.4191	
1100	23.5326	
1101	23.6633	
1102	23.7811	
1103	23.8861	
1104	23.9953	
1105	24.1002	
1106	24.1793	
1107	24.2584	
1108	24.3204	
1109	24.3694	
1110	24.3879	
1111	24.4111	
1112	24.4128	
1113	24.4145	
1114	24.4034	
1115	24.3793	
1116	24.3423	
1117	24.2967	
1118	24.2167	
1119	24.1454	
1120	24.074	
1121	23.9811	
1122	23.8839	
1123	23.7738	
1124	23.6509	
1125	23.4935	
1126	23.3705	
1127	23.2002	
1128	23.0596	
1129	22.9022	
1130	22.7061	
1131	22.6434	
1132	22.4559	
1133	22.3888	
1134	22.2572	
1135	22.1385	
1136	22.0328	
1137	21.8969	
1138	21.7954	
1139	21.7025	
1140	21.5709	
1141	21.4394	
1142	21.4024	
1143	21.374	
1144	21.337	
1145	21.313	
1146	21.3018	
1147	21.3078	
1148	21.3048	
1149	21.3366	
1150	21.3727	
1151	21.4174	
1152	21.4751	
1153	21.537	
1154	21.6118	
1155	21.7081	
1156	21.813	
1157	21.9309	
1158	22.0659	
1159	22.2353	
1160	22.4434	
1161	22.6468	
1162	22.7947	
1163	22.934	
1164	23.0863	
1165	23.2385	
1166	23.395	
1167	23.5343	
1168	23.6994	
1169	23.8474	
1170	23.9996	
1171	24.1389	
1172	24.2907	
1173	24.5246	
1174	24.6596	
1175	24.7689	
1176	24.891	
1177	25.0088	
1178	25.1094	
1179	25.2014	
1180	25.186	
1181	25.1791	
1182	25.1464	
1183	25.1266	
1184	25.1068	
1185	25.0742	
1186	25.0238	
1187	24.9568	
1188	24.8725	
1189	24.8097	
1190	24.7383	
1191	24.6197	
1192	24.501	
1193	24.3651	
1194	24.1733	
1195	24.0331	
1196	23.8413	
1197	23.6066	
1198	23.4062	
1199	23.2316	
1200	23.0828	
1201	22.9125	
1202	22.7638	
1203	22.6107	
1204	22.4748	
1205	22.3475	
1206	22.2073	
1207	22.093	
1208	21.97	
1209	21.7782	
1210	21.6333	
1211	21.549	
1212	21.4819	
1213	21.4192	
1214	21.3693	
1215	21.3323	
1216	21.3211	
1217	21.3099	
1218	21.3203	
1219	21.3521	
1220	21.3925	
1221	21.4415	
1222	21.4862	
1223	21.5353	
1224	21.623	
1225	21.7189	
1226	21.7679	
1227	21.8986	
1228	22.0379	
1229	22.0998	
1230	22.3209	
1231	22.4387	
1232	22.5866	
1233	22.7474	
1234	22.8652	
1235	23.0347	
1236	23.1525	
1237	23.3	
1238	23.4264	
1239	23.5442	
1240	23.6749	
1241	23.7928	
1242	23.9235	
1243	24.0241	
1244	24.1247	
1245	24.2038	
1246	24.2787	
1247	24.3234	
1248	24.3681	
1249	24.3999	
1250	24.4184	
1251	24.4244	
1252	24.4218	
1253	24.4021	
1254	24.3737	
1255	24.3195	
1256	24.2696	
1257	24.2026	
1258	24.1312	
1259	24.0469	
1260	23.954	
1261	23.8482	
1262	23.7467	
1263	23.6109	
1264	23.4879	
1265	23.3563	
1266	23.2161	
1267	23.0759	
1268	22.9272	
1269	22.787	
1270	22.6378	
1271	22.4976	
1272	22.3703	
1273	22.2473	
1274	22.133	
1275	22.0143	
1276	21.9128	
1277	21.8113	
1278	21.7012	
1279	21.617	
1280	21.5499	
1281	21.4957	
1282	21.4501	
1283	21.4088	
1284	21.3891	
1285	21.3779	
1286	21.4097	
1287	21.4845	
1288	21.5718	
1289	21.638	
1290	21.6999	
1291	21.7705	
1292	21.841	
1293	21.9244	
1294	22.0379	
1295	22.1471	
1296	22.2693	
1297	22.4215	
1298	22.5522	
1299	22.7173	
1300	22.8738	
1301	23.0084	
1302	23.2252	
1303	23.4247	
1304	23.6242	
1305	23.7721	
1306	23.9286	
1307	24.0766	
1308	24.1944	
1309	24.338	
1310	24.4343	
1311	24.5478	
1312	24.6566	
1313	24.7314	
1314	24.8063	
1315	24.894	
1316	24.9516	
1317	24.992	
1318	25.0066	
1319	25.0213	
1320	25.0144	
1321	24.986	
1322	24.9404	
1323	24.8346	
1324	24.7074	
1325	24.6231	
1326	24.513	
1327	24.4244	
1328	24.3316	
1329	24.2253	
1330	24.1067	
1331	23.9708	
1332	23.8392	
1333	23.6904	
1334	23.533	
1335	23.3026	
1336	23.1409	
1337	22.9706	
1338	22.8218	
1339	22.6472	
1340	22.4985	
1341	22.3583	
1342	22.2181	
1343	22.0908	
1344	21.9549	
1345	21.8277	
1346	21.7305	
1347	21.6075	
1348	21.4888	
1349	21.4131	
1350	21.3719	
1351	21.3134	
1352	21.233	
1353	21.1358	
1354	21.0687	
1355	21.0661	
1356	21.0764	
1357	21.1083	
1358	21.1659	
1359	21.2364	
1360	21.2768	
1361	21.3345	
1362	21.4996	
1363	21.6776	
1364	21.7352	
1365	21.8659	
1366	22.0435	
1367	22.1355	
1368	22.305	
1369	22.44	
1370	22.5793	
1371	22.7272	
1372	22.8708	
1373	23.0188	
1374	23.171	
1375	23.3146	
1376	23.4582	
1377	23.5846	
1378	23.7149	
1379	23.8413	
1380	23.9678	
1381	24.0813	
1382	24.1776	
1383	24.2696	
1384	24.3573	
1385	24.4494	
1386	24.5242	
1387	24.5904	
1388	24.6394	
1389	24.6669	
1390	24.6773	
1391	24.6743	
1392	24.6459	
1393	24.6132	
1394	24.5633	
1395	24.4919	
1396	24.4163	
1397	24.3363	
1398	24.2391	
1399	24.1247	
1400	24.006	
1401	23.8874	
1402	23.7601	
1403	23.6328	
1404	23.4926	
1405	23.3653	
1406	23.2252	
1407	23.0721	
1408	22.9362	
1409	22.7874	
1410	22.6601	
1411	22.5157	
1412	22.4008	
1413	22.2736	
1414	22.1635	
1415	22.0577	
1416	21.9605	
1417	21.8762	
1418	21.8092	
1419	21.755	
1420	21.6965	
1421	21.6509	
1422	21.6226	
1423	21.5942	
1424	21.5916	
1425	21.6019	
1426	21.6294	
1427	21.6699	
1428	21.7232	
1429	21.7847	
1430	21.838	
1431	21.9171	
1432	22.0263	
1433	22.1312	
1434	22.2319	
1435	22.3583	
1436	22.4804	
1437	22.6025	
1438	22.7289	
1439	22.8554	
1440	22.9947	
1441	23.1293	
1442	23.2686	
1443	23.4079	
1444	23.5515	
1445	23.6822	
1446	23.8087	
1447	23.9394	
1448	24.0486	
1449	24.1492	
1450	24.2455	
1451	24.2903	
1452	24.3049	
1453	24.3238	
1454	24.3767	
1455	24.4128	
1456	24.4446	
1457	24.4636	
1458	24.4782	
1459	24.4756	
1460	24.4601	
1461	24.4188	
1462	24.3733	
1463	24.3148	
1464	24.2348	
1465	24.1505	
1466	24.0576	
1467	23.9605	
1468	23.8375	
1469	23.7188	
1470	23.6001	
1471	23.4728	
1472	23.3365	
1473	23.1963	
1474	23.0648	
1475	22.9203	
1476	22.7758	
