Sample,Distance
1399,19.5156
1400,19.8049
1401,20.1163
1402,20.4233
1403,20.7561
1404,21.0889
1405,21.426
1406,21.7589
1407,22.0917
1408,22.4155
1409,22.7311
1410,23.0338
1411,23.3236
1412,23.6091
1413,23.8732
1414,24.1243
1415,24.3668
1416,24.5792
1417,24.7615
1418,24.9219
1419,25.0527
1420,25.1576
1421,25.2324
1422,25.2857
1423,25.3003
1424,25.2978
1425,25.2436
1426,25.1636
1427,25.0707
1428,24.9606
1429,24.8076
1430,24.6373
1431,24.4369
1432,24.2236
1433,23.9673
1434,23.7025
1435,23.4333
1436,23.1426
1437,22.839
1438,22.5221
1439,22.2013
1440,21.859
1441,21.5254
1442,21.1917
1443,20.8623
1444,20.5372
1445,20.2164
1446,19.9172
1447,19.6222
1448,19.3229
1449,19.0537
1450,18.7974
1451,18.5627
1452,18.358
1453,18.1705
1454,18.0131
1455,17.8773
1456,17.7586
1457,17.6786
1458,17.6244
1459,17.6046
1460,17.6064
1461,17.6425
1462,17.7044
1463,17.7835
1464,17.9052
1465,18.0531
1466,18.2268
1467,18.4221
1468,18.6474
1469,18.8856
1470,19.141
1471,19.405
1472,19.6949
1473,20.0019
1474,20.3171
1475,20.6456
1476,20.9784
1477,21.3327
1478,21.6699
1479,22.0285
1480,22.3742
1481,22.7027
1482,23.0312
1483,23.3464
1484,23.6319
1485,23.9089
1486,24.1471
1487,24.3939
1488,24.602
1489,24.8015
1490,24.971
1491,25.1146
1492,25.2367
1493,25.3283
1494,25.3816
1495,25.422
1496,25.4453
1497,25.4298
1498,25.4315
1499,25.4117
1500,25.336
1501,25.1657
1502,25.0127
1503,24.7521
1504,24.5216
1505,24.2352
1506,23.923
1507,23.641
1508,23.3503
1509,23.0338
1510,22.7259
1511,22.4094
1512,22.0887
1513,21.7593
1514,21.4342
1515,21.1005
1516,20.7754
1517,20.4418
1518,20.1339
1519,19.8303
1520,19.5482
1521,19.2747
1522,19.018
1523,18.7833
1524,18.5614
1525,18.361
1526,18.2036
1527,18.0462
1528,17.919
1529,17.8132
1530,17.7418
1531,17.679
1532,17.6549
1533,17.6825
1534,17.7401
1535,17.8235
1536,17.9413
1537,18.0849
1538,18.2501
1539,18.4448
1540,18.6487
1541,18.8826
1542,19.138
1543,19.4106
1544,19.6961
1545,19.9946
1546,20.3102
1547,20.6129
1548,20.9367
1549,21.2609
1550,21.5808
1551,21.9051
1552,22.2207
1553,22.5363
1554,22.8433
1555,23.1374
1556,23.4316
1557,23.7123
1558,23.9721
1559,24.2318
1560,24.4485
1561,24.6523
1562,24.8045
1563,24.9439
1564,25.0402
1565,25.1279
1566,25.1769
1567,25.2002
1568,25.189
1569,25.1516
1570,25.0888
1571,24.9916
1572,24.8901
1573,24.7542
1574,24.6055
1575,24.4223
1576,24.2219
1577,23.9957
1578,23.7351
1579,23.466
1580,23.1839
1581,22.876
1582,22.5595
1583,22.2387
1584,21.918
1585,21.58
1586,21.2506
1587,20.9341
1588,20.6219
1589,20.3141
1590,20.0191
1591,19.7327
1592,19.4549
1593,19.1771
1594,18.9338
1595,18.7076
1596,18.4943
1597,18.3154
1598,18.1537
1599,18.0179
1600,17.9035
1601,17.8059
1602,17.756
1603,17.7276
1604,17.725
1605,17.7569
1606,17.8102
1607,17.8936
1608,17.9942
1609,18.1507
1610,18.3331
1611,18.5455
1612,18.8138
1613,19.043
1614,19.307
1615,19.5796
1616,19.8479
1617,20.1507
1618,20.4577
1619,20.7733
1620,21.1018
1621,21.4346
1622,21.7756
1623,22.1042
1624,22.4284
1625,22.7655
1626,23.1198
1627,23.4354
1628,23.7424
1629,24.0538
1630,24.2963
1631,24.4782
1632,24.7637
1633,24.9374
1634,25.1283
1635,25.2634
1636,25.3769
1637,25.4646
1638,25.5265
1639,25.5411
1640,25.5472
1641,25.5231
1642,25.4732
1643,25.3975
1644,25.2831
1645,25.1339
1646,24.9507
1647,24.6816
1648,24.3823
1649,24.1475
1650,23.8783
1651,23.6048
1652,23.3228
1653,23.0321
1654,22.7199
1655,22.4163
1656,22.0998
1657,21.7791
1658,21.454
1659,21.1289
1660,20.7952
1661,20.4658
1662,20.1107
1663,19.7856
1664,19.4863
1665,19.2171
1666,18.978
1667,18.7519
1668,18.5429
1669,18.3468
1670,18.1765
1671,18.045
1672,17.9349
1673,17.8549
1674,17.7921
1675,17.768
1676,17.7654
1677,17.7796
1678,17.8244
1679,17.9078
1680,18.0127
1681,18.1434
1682,18.2999
1683,18.4737
1684,18.6689
1685,18.8942
1686,19.141
1687,19.405
1688,19.6815
1689,19.9671
1690,20.2655
1691,20.5768
1692,20.8752
1693,21.1951
1694,21.515
1695,21.8393
1696,22.1635
