Sampleid,Distance
975,24.35
976,24.3948
977,24.4223
978,24.424
979,24.4038
980,24.3539
981,24.2997
982,24.224
983,24.1269
984,24.0125
985,23.8766
986,23.7235
987,23.5532
988,23.3572
989,23.1525
990,22.9005
991,22.6786
992,22.4266
993,22.1919
994,21.9528
995,21.6879
996,21.4359
997,21.1969
998,20.9535
999,20.7101
1000,20.4753
1001,20.2534
1002,20.0315
1003,19.8097
1004,19.6222
1005,19.439
1006,19.2726
1007,19.1238
1008,18.9922
1009,18.8779
1010,18.7721
1011,18.7007
1012,18.6465
1013,18.6138
1014,18.6027
1015,18.613
1016,18.6491
1017,18.6981
1018,18.76
1019,18.8521
1020,18.9613
1021,19.0916
1022,19.2395
1023,19.4046
1024,19.5869
1025,19.7821
1026,19.9774
1027,20.1941
1028,20.4237
1029,20.6619
1030,20.9087
1031,21.1513
1032,21.4063
1033,21.6531
1034,21.8999
1035,22.1424
1036,22.4021
1037,22.6447
1038,22.87
1039,23.0996
1040,23.3077
1041,23.4853
1042,23.6633
1043,23.8155
1044,23.9549
1045,24.0727
1046,24.1733
1047,24.2524
1048,24.3101
1049,24.3376
1050,24.3522
1051,24.3496
1052,24.3255
1053,24.2713
1054,24.2043
1055,24.1196
1056,24.0052
1057,23.8779
1058,23.7463
1059,23.5889
1060,23.4187
1061,23.2355
1062,23.0351
1063,22.8304
1064,22.5999
1065,22.3566
1066,22.139
1067,21.8956
1068,21.6479
1069,21.4045
1070,21.1784
1071,20.9221
1072,20.6916
1073,20.474
1074,20.2693
1075,20.0604
1076,19.8686
1077,19.694
1078,19.5366
1079,19.3706
1080,19.2477
1081,19.1328
1082,19.04
1083,18.9729
1084,18.923
1085,18.8903
1086,18.8791
1087,18.8723
1088,18.9041
